4654,547,99,
4805,3850,1970,1729,
4265,182,
4958,4027,3896,3287,3088,3020,
2622,1452,
4298,4147,3700,2872,
4778,4416,3266,2923,
4849,4475,4320,3822,3054,2548,2406,1370,906,
4472,3557,3439,2878,924,
4681,4033,3704,2765,
2245,216,
2922,2473,1998,1563,1404,293,
4603,3963,3924,3899,744,418,
4101,485,
18,
4788,3991,3933,3759,7,
4696,4657,3142,1605,1122,217,
4844,2078,571,
3734,3598,942,309,
3820,2647,1970,1387,
4633,4334,847,320,
2253,1320,
3830,2189,1498,752,333,
3936,3344,2357,1551,
4775,4708,4247,3256,2729,
4373,4224,3332,2802,1106,787,
4760,4304,4009,1592,679,
4611,3990,2232,2144,425,202,
4391,3564,2561,1272,127,
4793,4394,3053,79,
867,815,173,81,
4580,3886,2521,1770,
4824,4492,2917,618,313,161,
548,135,
4350,2857,2514,1527,206,
4272,3861,3240,596,138,
4278,2705,1981,1448,593,
4800,4424,4073,3525,
4721,3811,3734,3305,2093,1950,
4787,1886,943,114,
4967,4673,3366,2261,2201,1889,54,
4203,1317,539,65,
4581,3517,3505,2354,1904,289,
4244,2103,181,
4783,4000,3607,2757,568,
4172,3225,1968,786,33,
3922,3509,2387,2263,169,
4390,4194,2803,
4338,3338,2190,1153,
1973,1434,1277,576,
4854,2345,1041,7,
4731,4171,3354,899,528,498,
3320,3076,2343,
4070,3105,2477,1317,
3149,1608,1229,670,28,
4783,3344,
4891,4564,3939,2879,1855,739,176,
4498,3090,13,
3612,2353,1739,1204,393,35,
3535,2318,229,
4297,3532,855,93,
4707,
4442,3918,3304,2203,659,
4672,4232,4138,355,173,
3897,3477,1167,443,
2280,611,
4767,3111,2265,1866,559,
4208,2473,702,318,
4254,3855,1954,1591,597,
4798,4582,4360,2100,185,
4395,3512,1542,71,
3441,930,514,
4172,3047,2205,1222,
4418,3613,2823,2642,1088,652,
504,470,
4696,4306,555,15,
4566,2655,2170,1931,738,185,
4424,4326,1308,174,
4750,3379,2403,1335,368,
2552,2362,529,
4374,3825,3285,2646,2227,404,
4401,3929,3215,1330,845,564,68,
4842,4741,3889,2668,
4815,3841,3618,682,329,
2906,1291,471,
4684,3852,2836,2156,1815,1402,49,
4804,
3461,122,
4787,3742,3250,2409,1182,912,563,
4859,4442,2845,2502,1824,
4393,2597,2158,1192,798,38,
714,
3757,3421,2545,1750,336,
3995,1519,648,635,
4764,3075,392,
4487,3126,2051,1432,
1599,387,
4684,1693,1377,
4779,2602,2465,599,464,276,
1934,1650,423,421,
