417,250,
833,427,160,61,
723,601,304,225,85,
295,149,
768,
758,307,
552,284,160,96,
676,
513,352,114,
603,148,
90,

632,432,73,
393,58,
269,76,
374,284,265,
690,535,
533,
415,
551,
639,114,

720,

576,493,385,
599,
794,714,373,251,
410,
458,
683,135,
5,
809,39,
428,78,
26,
339,176,
373,
387,382,168,67,
30,
676,
166,
99,
697,363,265,
751,674,
750,
231,
665,
881,
809,445,278,
4,
870,203,
747,78,
611,604,
886,
572,345,
796,244,
684,396,134,17,
497,
438,10,
279,202,
688,408,135,
568,93,
716,635,
183,

660,190,
186,34,
599,111,87,
63,
746,591,514,455,289,212,99,


629,408,
107,
336,
457,
626,
631,
781,581,
688,398,108,
612,100,
461,
512,497,

747,439,60,
246,

790,497,284,248,46,
687,598,
875,590,243,
477,369,72,
542,147,
755,
312,87,
386,45,
732,529,21,
623,77,0,
732,
842,255,

787,724,208,
763,173,118,
640,447,92,
718,509,291,
648,436,61,
704,
273,
535,
545,43,
721,182,

164,

534,
169,
721,594,53,
564,365,182,
469,12,
473,307,

106,
753,596,522,179,126,
558,254,11,

29,5,
48,
826,716,
767,430,23,
473,64,14,
755,674,
254,226,69,46,
682,307,2,
33,
714,323,

801,
81,

412,
648,
744,
606,239,
777,247,19,
621,44,
458,86,


233,
574,

768,278,

830,489,25,
292,18,
412,31,
721,600,384,
299,17,
833,636,551,164,
767,384,356,210,
478,283,190,25,

681,26,
467,203,
448,166,
547,335,95,
757,587,258,

563,352,
61,
80,
63,
2,
144,
184,58,
791,211,31,
294,
103,
329,90,
796,
284,121,
189,
442,115,
337,

225,50,
856,109,
299,149,
752,238,107,
699,322,
724,58,
423,307,
201,

405,77,
679,461,330,236,
434,269,
468,
141,
451,395,
156,
219,
733,630,445,366,278,
404,
678,263,112,
688,614,370,293,112,
832,315,88,
498,53,
242,

316,14,
644,419,221,
461,


36,
575,409,176,
90,
636,237,

818,736,172,
2,
678,378,368,
410,308,
332,
615,
834,154,
253,192,
532,185,
137,89,
674,340,



747,565,269,

828,309,291,

747,569,546,187,
720,70,

811,790,488,145,
251,217,56,26,
697,
779,
612,369,

669,273,92,
364,
117,
396,226,
664,
504,175,159,
470,234,168,137,
718,623,
136,
604,523,390,
25,

15,
844,164,89,

681,44,
635,550,
196,160,
22,
824,538,
394,
233,75,
36,13,
426,222,
4,
477,56,
333,
368,107,
438,324,16,
66,60,
804,495,
416,235,155,
85,
602,396,106,
428,303,152,27,
131,
564,462,136,
254,15,
429,
379,251,
225,80,12,

436,
6,
300,
704,
168,
124,
763,
500,66,65,
697,48,0,
827,822,
743,
648,487,
39,

381,161,119,
415,331,9,
646,
772,605,527,391,
671,468,119,
688,284,89,66,
686,471,221,150,
371,20,
25,
290,12,


212,
370,218,
469,279,58,
246,
344,127,94,
753,
562,
520,84,34,

308,
316,18,
639,278,
180,
215,157,
453,108,
736,0,
707,355,
686,451,384,
756,598,573,398,291,234,
822,648,342,
241,42,
88,
344,
69,
862,198,
699,217,154,
186,
697,465,272,59,
83,
779,689,123,
329,278,
727,435,121,
307,256,43,
23,
694,660,43,
504,285,100,

444,106,
466,33,
429,
34,
432,401,367,296,238,
572,522,217,122,26,
477,
746,516,
355,256,
202,
756,77,
752,707,289,99,

665,422,
827,800,
133,

749,471,272,32,2,
480,174,
543,272,
688,143,
817,57,
743,491,
549,127,
212,
812,
766,706,244,
708,120,
198,
692,457,376,
251,
746,320,
468,186,
260,98,36,
62,
683,488,
334,
736,299,24,
721,509,395,27,
742,51,
740,101,
146,
575,363,
417,
553,448,122,18,
233,61,
847,383,378,

621,189,116,18,

698,
752,266,40,
915,
420,246,
836,
923,858,370,148,
842,17,
852,184,
562,
218,60,
929,450,25,
464,63,
979,
49,
769,583,441,
821,700,170,64,
639,110,
661,297,44,
862,51,
389,260,
757,469,
459,31,
884,
685,37,
159,77,
783,178,
934,615,551,23,
903,642,
799,104,
861,348,14,
712,600,515,189,
756,269,
881,537,477,23,
827,410,160,
940,62,

567,100,

836,655,642,258,
918,473,430,271,
889,509,
893,531,275,
393,208,
461,14,
689,430,176,154,
635,
292,211,
238,
348,238,
15,
474,64,
2,
900,
912,775,605,221,
889,441,9,
942,568,63,
625,74,
410,
856,840,710,632,
712,
867,752,
815,745,648,323,177,60,9,
948,320,202,
939,930,
903,509,110,
416,
848,828,342,
888,609,298,
916,463,355,
961,519,73,
765,384,315,132,
936,688,227,199,
716,390,137,

712,638,
900,210,68,
601,469,15,
902,473,160,
843,693,
732,223,61,
596,141,16,

485,268,
737,712,117,
435,229,59,
920,832,646,426,52,
964,641,
945,98,
959,
351,136,
625,616,164,0,
255,
269,102,15,
843,755,157,
883,636,382,
389,178,
940,248,
10,
903,827,737,306,
911,633,257,
