10,
57,5,


33,13,
78,66,13,
5,
54,46,10,

33,
42,
59,
51,
87,79,49,
27,22,
35,5,
69,29,
71,
27,23,
9,
41,25,5,
87,67,48,34,

23,
90,14,0,
80,59,


36,
67,33,
67,

85,66,
65,53,
64,58,16,
45,10,
80,69,37,28,
0,
64,14,
54,

45,
13,
61,
19,
87,22,12,8,
0,
12,

0,

33,3,

86,15,
37,
35,10,
79,0,
77,
79,53,40,20,
78,30,
52,11,
73,
79,49,27,

85,
58,14,
74,40,24,8,

52,

81,77,44,6,
4,
0,
44,3,0,

42,3,
78,2,
24,
41,28,

32,9,

82,32,
78,13,
22,
66,
35,6,
78,
64,2,
65,

0,

49,23,
83,54,5,
70,60,34,18,10,0,
86,67,49,48,2,
42,36,11,0,
12,
89,
