320,
321,236,
613,180,92,
693,195,
1037,45,
1196,
92,
42,
194,

839,
660,150,
1034,1017,260,
487,200,
364,93,

304,
606,306,
1114,647,332,
534,
283,68,

43,
162,
62,
93,

96,
407,
474,155,
130,
265,220,
106,
844,
430,
422,
582,196,
428,
1017,
627,
283,
414,
560,
970,618,
855,197,
543,
619,
62,
241,


778,
1370,922,643,420,
494,48,
118,
328,
566,93,
514,218,66,
316,
133,
75,
611,
818,

123,
657,
863,157,51,

1131,
1067,64,
318,
490,390,
318,77,
363,35,
539,
129,
121,
56,
627,

75,
566,475,
775,144,31,
1305,22,
908,121,
721,
670,210,
148,
989,
8,
216,
330,
44,
866,
722,
431,138,
657,
956,805,
237,140,
444,
