1090,1004,891,
106,
237,149,
303,
379,271,
363,
3,
141,
313,
1013,203,
281,
1410,
642,315,144,
1000,
1281,199,
1236,661,
935,494,
1340,245,
444,
1025,
1436,
838,585,
459,360,125,
1550,154,
282,177,
1363,208,51,
56,
1657,
379,
342,
1694,151,
783,

853,74,
510,417,
317,
920,791,
92,
408,
510,
269,
219,

852,832,
685,
1618,
416,

716,540,184,
697,445,
1017,
1141,
240,
462,
106,
40,
1598,782,75,
417,401,

1673,1263,477,
450,
856,596,347,
1118,259,
91,
1102,956,
429,391,
1483,1343,280,
532,464,
212,61,
1326,445,
493,124,
1148,373,293,
1677,1599,
581,55,
257,
777,66,
342,

230,
1041,

974,776,
453,
1674,136,
498,186,
922,892,
464,193,
546,
1235,

373,
149,
1025,
747,326,
1755,162,
638,
289,
176,
537,321,
822,
