355,
290,
441,405,229,
51,
649,637,562,
164,
982,92,
3,
337,
567,
930,165,
357,
502,
506,308,199,
286,
756,158,
854,457,

705,
894,342,
1396,
661,
143,
311,231,
390,
93,

163,37,
361,
82,62,
588,
79,57,
269,66,
675,
51,
410,278,194,
814,
608,
760,
267,

185,

469,
695,237,2,
398,
54,
327,

58,
465,

827,441,


74,
246,197,
1285,322,
829,499,443,
282,143,
137,
311,
22,

134,
685,177,
68,5,
518,396,

1058,
148,134,
927,227,
348,
7,
162,
10,
11,
139,46,
40,
596,
1011,351,6,
636,398,
926,499,126,
64,
505,294,242,
180,98,
558,129,
404,30,
168,

856,
642,155,
326,
169,
786,
140,
899,368,
696,130,
247,
574,469,
