
484,
593,
36,

300,
278,112,
760,
555,
629,
596,366,
353,
78,55,18,
87,
308,141,
83,
639,
769,623,
1003,542,219,
215,151,

621,168,
309,
627,4,
1143,
506,257,
430,274,
582,
453,
30,
24,12,
220,137,
1369,136,
438,41,
1242,
438,
41,
619,
870,
207,

617,472,
1022,

585,73,
151,
867,655,236,18,
59,
151,
523,38,

453,141,
353,
412,318,
610,463,422,
330,
362,86,
302,14,
234,82,
412,
476,
537,
287,
236,50,
771,
321,
181,62,
179,
33,
649,32,
400,393,
793,412,
60,
12,
324,266,
37,
927,
712,
1278,

82,9,
581,
954,237,
8,
482,
222,
13,
317,196,
48,
223,
630,
713,
1411,213,77,
64,
1192,
155,
409,276,66,
333,
159,
386,
