
896,575,403,
319,
646,
1144,377,
658,
1340,109,
1055,83,
126,
683,530,420,
951,216,
991,
911,132,
681,456,
835,
1108,369,308,
473,
1037,55,
1190,208,
1212,702,
652,543,
727,499,
213,
1556,16,
215,210,
808,54,
286,
852,662,
695,
293,
1384,314,
746,
1079,
332,
683,153,
189,
1160,
241,
122,
596,
1253,
142,

1429,590,
601,454,
266,65,
53,
470,
1576,487,
501,
998,
968,
395,

729,276,248,
514,

897,683,
740,208,
568,
1556,132,
1040,
539,
1293,1010,21,
341,
60,
108,
173,
667,
1139,
1110,
156,
845,
760,
769,692,311,
263,
829,224,
94,
935,928,571,
465,
92,
639,155,22,
278,14,
445,
550,109,
175,
652,
1298,
855,683,

1413,
1778,566,104,

765,
277,

1542,841,
318,
1020,463,291,
1538,198,
