

1583,638,388,
309,

1458,193,
1774,1275,
1116,158,
1930,233,
695,448,
1590,
855,
396,
688,
79,

1255,867,832,46,
1663,1469,
873,191,
805,155,
794,263,
1149,
1579,180,
1586,304,
239,

349,
186,


1900,
1383,1300,141,
1325,1237,357,
961,81,
992,190,
1048,
929,303,
1556,354,
1399,453,
1626,949,680,
1451,575,156,
757,580,
491,236,4,
1378,1032,
769,
1267,939,722,411,
183,
1501,532,444,
1402,
1347,1235,286,46,
464,
1372,
1160,136,
864,
1279,965,
1654,
849,41,
384,
1023,
210,
1003,
832,452,
1179,549,
470,
292,
1765,909,197,
1569,1172,929,74,
1351,560,440,

1294,
1162,91,
92,

1789,951,
173,
1425,
648,
1369,462,
1471,676,
979,
571,
1510,1396,948,
908,
1244,220,
1604,249,
1498,1053,
1543,
1237,

854,119,
96,


1451,
1745,
1392,1355,
496,
1125,214,
450,
1305,
