
925,
52,
212,
553,

485,
1360,43,

949,226,
1006,
1208,875,807,
140,
797,
549,
988,899,
596,279,
512,447,
455,393,
531,
1097,42,
1012,
748,550,38,
865,
987,677,
934,
556,

526,137,
354,41,
485,
529,
1016,259,195,
395,
522,174,
472,112,
805,436,
1066,708,
228,87,
109,
555,496,
1009,664,


667,620,
1092,74,
828,
181,
825,99,
617,263,173,

93,
929,630,
588,
813,554,
765,
734,88,
982,533,175,
39,
326,

1377,1022,309,
343,292,168,
438,
96,
429,276,
1062,362,83,
960,

934,663,
371,120,118,

913,
1164,254,
973,662,105,
599,
246,
70,
321,155,
1172,919,
1258,
703,
357,

789,
254,
534,153,
206,47,
590,505,
687,
772,

109,

731,
668,
110,
323,
1276,111,

