766,219,
892,
1196,
1247,
490,188,

866,399,296,
1115,


400,
879,4,
481,50,40,
945,303,

396,284,
727,625,

181,
531,

802,194,
304,
359,
651,
603,
872,782,
427,
1226,
428,
321,
875,304,
282,
1173,262,
298,
633,545,
232,67,
204,
821,702,535,369,
922,
18,
911,116,
398,115,
1171,443,
630,

127,115,
465,59,
988,

772,540,
363,
918,
612,

1245,185,
682,
275,
1208,325,
475,197,165,
733,343,
1048,
900,
506,
1076,
989,

856,
186,41,
405,402,
431,232,
429,375,20,
1409,105,
322,
101,
1025,502,227,
601,364,
324,
507,74,
822,385,
661,519,
768,2,
1086,699,

474,
468,
720,
938,
667,660,
596,341,162,
942,322,

564,228,
1346,127,
243,

514,289,
836,
1063,373,
232,
