5000, 500, 0.000256
2000, 200, 0.000500
1000, 100, 0.000746
2000, 31, 0.018085
1000, 3, 0.856153
1500, 11, 0.106559
1500, 7, 0.271595
2000, 7, 0.365490
5000, 1, 25.391264
5000, 8, 0.677796
2000, 20, 0.041271
1500, 5, 0.566461
5000, 3, 4.605056
2000, 3, 1.893171
5000, 50, 0.015833
2000, 44, 0.008227
2000, 12, 0.115713
1000, 5, 0.330977
1000, 31, 0.007930
1500, 75, 0.002882
5000, 30, 0.046434
1500, 27, 0.019241
1000, 200, 0.000378
1000, 50, 0.003461
1500, 3, 1.407201
5000, 5, 1.750675
1000, 15, 0.036804
2000, 100, 0.001587
2000, 5, 0.713380
5000, 1000, 0.000058
1000, 22, 0.016564
1000, 6, 0.241182
1500, 18, 0.038377
5000, 250, 0.000545
2000, 1, 10.046057
2000, 400, 0.000231
1500, 300, 0.000202
5000, 17, 0.151319
1000, 10, 0.094454
5000, 70, 0.007306
1000, 1, 5.017958
1500, 1, 7.427233
1500, 38, 0.007872
1500, 150, 0.000505
