1166,
767,64,


505,
8,
1079,6,
945,178,

278,
1172,818,
1112,901,706,

426,306,
1011,449,5,
294,
87,


913,
1069,
558,107,
168,
906,94,
926,
701,359,

338,213,
890,755,622,
1168,387,52,
645,300,
754,483,

458,
814,413,405,289,
601,
148,118,
226,93,
1030,967,458,
413,130,
932,109,74,
0,

1101,100,
1029,176,

1265,1090,540,380,134,


120,
516,333,14,
695,
478,51,
1116,655,549,

1029,841,766,90,
801,760,361,
174,
798,729,
964,291,


1119,764,536,478,290,
402,

649,236,
1000,370,
977,962,662,629,
1021,830,701,
494,266,
974,420,
765,
904,243,114,



1286,652,125,
744,465,318,
613,
569,447,
19,
1076,782,164,35,
891,
322,
931,98,
551,

806,
676,
1136,601,228,

660,529,
659,268,
195,
1000,
685,441,
410,360,
869,38,
1142,387,
824,
545,


637,472,
1007,30,
820,700,
533,209,

1143,680,320,258,
1116,296,
1095,865,683,
838,351,70,
1330,280,
1033,785,587,111,33,
548,491,
1121,263,198,113,
225,
406,
908,334,
466,121,
178,
928,455,126,
815,358,
645,554,113,
346,
486,
93,
471,161,
1073,846,131,
725,673,
1302,1194,770,272,
954,4,
460,247,226,19,
307,2,
527,
534,
560,
456,
717,
270,
126,
58,
964,326,

738,

1123,849,505,
442,
386,
1017,767,30,
427,322,
38,
947,361,240,138,
882,67,
1136,481,
965,791,

933,279,
955,
1172,771,85,
1065,883,
579,480,407,
961,702,430,22,
695,527,109,
1205,707,681,232,
42,
827,33,
1124,54,35,
806,
601,36,
1238,654,189,
730,43,
1042,501,
255,209,47,
557,66,
104,
384,
438,
49,
1089,257,
633,
1088,
1223,844,
599,267,165,
981,
386,376,266,

286,9,
739,


1136,916,666,
132,79,
1106,

272,
347,276,50,
1232,1203,256,41,
1267,

1180,246,
496,328,50,
792,
1208,
1006,

461,331,208,
255,
961,378,
810,248,

72,
933,84,
1175,1037,168,65,51,
574,226,
1112,1064,561,133,
933,601,
384,63,26,
306,
968,183,
336,
1034,891,30,
685,
728,512,444,


712,224,
835,302,89,80,
1180,867,275,75,
981,914,
223,
2,
1047,966,
134,80,13,
986,
5,
309,247,
137,
961,530,432,
979,
1085,802,521,131,
1264,546,311,93,

1047,907,872,
321,69,
943,

1093,282,131,87,
196,
744,120,
376,222,

228,
93,
61,
619,439,48,
899,

707,
1039,
46,


372,
885,504,135,

320,198,68,
217,
1006,
1228,521,318,
1223,627,

5,
1257,375,50,
19,

796,527,333,
764,306,
82,

87,
141,
44,
222,198,
1036,
783,741,383,74,
903,
166,114,
752,468,326,
580,294,
873,82,
957,876,683,
1108,947,181,
261,113,
549,

960,695,
571,
1138,720,

62,
966,52,
755,308,147,
1327,705,389,61,
540,466,30,
64,
549,
241,
1070,588,211,79,
1086,883,257,211,
537,195,
1287,999,449,
1156,394,
1134,439,156,
677,
421,243,
635,
231,
990,198,
655,474,244,
387,85,
987,694,621,
1159,752,
92,
1231,
1120,767,598,
813,40,
355,66,
1279,496,341,
897,733,
972,650,
973,199,139,
568,140,
1127,473,444,
1248,897,653,129,
999,895,451,
1155,
498,
400,375,29,
1199,
897,406,327,291,39,
271,231,
4,
1106,822,
839,537,

1062,710,635,147,
645,422,175,
587,337,325,
1021,
1019,24,



306,
1117,62,
750,
1012,986,575,2,
1312,117,
1035,813,
1043,

319,
823,
644,219,
107,
1005,564,176,91,
1072,537,338,
872,
56,
213,
971,
927,
502,

1184,293,
819,55,
901,


744,
1241,283,
724,
967,807,675,427,192,
1019,
597,431,345,93,22,
769,
144,
982,569,
290,8,

920,515,59,
56,
1232,786,390,16,
816,708,
512,
1236,238,18,
758,60,
88,

